EID;Resolver;Locator Count Consistence
0.0.0.0;149.20.48.61;True
0.0.0.0;149.20.48.77;True
0.0.0.0;173.36.254.164;True
0.0.0.0;193.162.145.50;True
0.0.0.0;195.50.116.18;True
0.0.0.0;198.6.255.37;True
0.0.0.0;198.6.255.40;True
0.0.0.0;202.51.247.10;True
0.0.0.0;202.214.86.252;True
0.0.0.0;206.223.132.89;True
0.0.0.0;217.8.97.6;True
0.0.0.0;217.8.98.42;True
0.0.0.0;217.8.98.46;True
32.0.0.0;149.20.48.61;True
32.0.0.0;149.20.48.77;True
32.0.0.0;173.36.254.164;True
32.0.0.0;193.162.145.50;True
32.0.0.0;195.50.116.18;True
32.0.0.0;198.6.255.37;True
32.0.0.0;198.6.255.40;True
32.0.0.0;202.51.247.10;True
32.0.0.0;202.214.86.252;True
32.0.0.0;206.223.132.89;True
32.0.0.0;217.8.97.6;True
32.0.0.0;217.8.98.42;True
32.0.0.0;217.8.98.46;True
36.0.0.0;149.20.48.61;True
36.0.0.0;149.20.48.77;True
36.0.0.0;173.36.254.164;True
36.0.0.0;193.162.145.50;True
36.0.0.0;195.50.116.18;True
36.0.0.0;198.6.255.37;True
36.0.0.0;198.6.255.40;True
36.0.0.0;202.51.247.10;True
36.0.0.0;202.214.86.252;True
36.0.0.0;206.223.132.89;True
36.0.0.0;217.8.97.6;True
36.0.0.0;217.8.98.42;True
36.0.0.0;217.8.98.46;True
37.0.0.0;149.20.48.61;True
37.0.0.0;149.20.48.77;True
37.0.0.0;173.36.254.164;True
37.0.0.0;193.162.145.50;True
37.0.0.0;195.50.116.18;True
37.0.0.0;198.6.255.37;True
37.0.0.0;198.6.255.40;True
37.0.0.0;202.51.247.10;True
37.0.0.0;202.214.86.252;True
37.0.0.0;206.223.132.89;True
37.0.0.0;217.8.97.6;True
37.0.0.0;217.8.98.42;True
37.0.0.0;217.8.98.46;True
37.64.0.0;149.20.48.61;True
37.64.0.0;149.20.48.77;True
37.64.0.0;173.36.254.164;True
37.64.0.0;193.162.145.50;True
37.64.0.0;195.50.116.18;True
37.64.0.0;198.6.255.37;True
37.64.0.0;198.6.255.40;True
37.64.0.0;202.51.247.10;True
37.64.0.0;202.214.86.252;True
37.64.0.0;206.223.132.89;True
37.64.0.0;217.8.97.6;True
37.64.0.0;217.8.98.42;True
37.64.0.0;217.8.98.46;True
37.72.0.0;149.20.48.61;True
37.72.0.0;149.20.48.77;True
37.72.0.0;173.36.254.164;True
37.72.0.0;193.162.145.50;True
37.72.0.0;195.50.116.18;True
37.72.0.0;198.6.255.37;True
37.72.0.0;198.6.255.40;True
37.72.0.0;202.51.247.10;True
37.72.0.0;202.214.86.252;True
37.72.0.0;206.223.132.89;True
37.72.0.0;217.8.97.6;True
37.72.0.0;217.8.98.42;True
37.72.0.0;217.8.98.46;True
37.76.0.0;149.20.48.61;True
37.76.0.0;149.20.48.77;True
37.76.0.0;173.36.254.164;True
37.76.0.0;193.162.145.50;True
37.76.0.0;195.50.116.18;True
37.76.0.0;198.6.255.37;True
37.76.0.0;198.6.255.40;True
37.76.0.0;202.51.247.10;True
37.76.0.0;202.214.86.252;True
37.76.0.0;206.223.132.89;True
37.76.0.0;217.8.97.6;True
37.76.0.0;217.8.98.42;True
37.76.0.0;217.8.98.46;True
37.77.0.0;149.20.48.61;True
37.77.0.0;149.20.48.77;True
37.77.0.0;173.36.254.164;True
37.77.0.0;193.162.145.50;True
37.77.0.0;195.50.116.18;True
37.77.0.0;198.6.255.37;True
37.77.0.0;198.6.255.40;True
37.77.0.0;202.51.247.10;True
37.77.0.0;202.214.86.252;True
37.77.0.0;206.223.132.89;True
37.77.0.0;217.8.97.6;True
37.77.0.0;217.8.98.42;True
37.77.0.0;217.8.98.46;True
37.77.32.0;149.20.48.61;True
37.77.32.0;149.20.48.77;True
37.77.32.0;173.36.254.164;True
37.77.32.0;193.162.145.50;True
37.77.32.0;195.50.116.18;True
37.77.32.0;198.6.255.37;True
37.77.32.0;198.6.255.40;True
37.77.32.0;202.51.247.10;True
37.77.32.0;202.214.86.252;True
37.77.32.0;206.223.132.89;True
37.77.32.0;217.8.97.6;True
37.77.32.0;217.8.98.42;True
37.77.32.0;217.8.98.46;True
37.77.48.0;149.20.48.61;True
37.77.48.0;149.20.48.77;True
37.77.48.0;173.36.254.164;True
37.77.48.0;193.162.145.50;True
37.77.48.0;195.50.116.18;True
37.77.48.0;198.6.255.37;True
37.77.48.0;198.6.255.40;True
37.77.48.0;202.51.247.10;True
37.77.48.0;202.214.86.252;True
37.77.48.0;206.223.132.89;True
37.77.48.0;217.8.97.6;True
37.77.48.0;217.8.98.42;True
37.77.48.0;217.8.98.46;True
37.77.56.0;149.20.48.61;True
37.77.56.0;149.20.48.77;True
37.77.56.0;173.36.254.164;True
37.77.56.0;193.162.145.50;True
37.77.56.0;195.50.116.18;True
37.77.56.0;198.6.255.37;True
37.77.56.0;198.6.255.40;True
37.77.56.0;202.51.247.10;True
37.77.56.0;202.214.86.252;True
37.77.56.0;206.223.132.89;True
37.77.56.0;217.8.97.6;True
37.77.56.0;217.8.98.42;True
37.77.56.0;217.8.98.46;True
37.77.56.32;149.20.48.61;True
37.77.56.32;149.20.48.77;True
37.77.56.32;173.36.254.164;True
37.77.56.32;193.162.145.50;True
37.77.56.32;195.50.116.18;True
37.77.56.32;198.6.255.37;True
37.77.56.32;198.6.255.40;True
37.77.56.32;202.51.247.10;True
37.77.56.32;202.214.86.252;True
37.77.56.32;206.223.132.89;True
37.77.56.32;217.8.97.6;True
37.77.56.32;217.8.98.42;True
37.77.56.32;217.8.98.46;True
37.77.56.34;149.20.48.61;True
37.77.56.34;149.20.48.77;True
37.77.56.34;173.36.254.164;True
37.77.56.34;193.162.145.50;True
37.77.56.34;195.50.116.18;True
37.77.56.34;198.6.255.37;True
37.77.56.34;198.6.255.40;True
37.77.56.34;202.51.247.10;True
37.77.56.34;202.214.86.252;True
37.77.56.34;206.223.132.89;True
37.77.56.34;217.8.97.6;True
37.77.56.34;217.8.98.42;True
37.77.56.34;217.8.98.46;True
37.77.56.36;149.20.48.61;True
37.77.56.36;149.20.48.77;True
37.77.56.36;173.36.254.164;True
37.77.56.36;193.162.145.50;True
37.77.56.36;195.50.116.18;True
37.77.56.36;198.6.255.37;True
37.77.56.36;198.6.255.40;True
37.77.56.36;202.51.247.10;True
37.77.56.36;202.214.86.252;True
37.77.56.36;206.223.132.89;True
37.77.56.36;217.8.97.6;True
37.77.56.36;217.8.98.42;True
